DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	2p14	2	66523432	MEIS1	MEIS1			ENSG00000143995			rs113851554-G	rs113851554	0	113851554	intron_variant	0	0.943	3E-18	17.522878745280337		0.09	[0.07-0.11] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	16p12.2	16	23898217	PRKCB	PRKCB			ENSG00000166501			rs11643715-C	rs11643715	0	11643715	intron_variant	0	0.706799	6E-6	5.221848749616356		0.022899233	[0.013-0.033] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	2p21	2	47252427	LOC101927043	EPCAM-DT			ENSG00000234690			rs13002630-T	rs13002630	0	13002630	intergenic_variant	0	0.707	3E-8	7.522878745280337		0.028	[0.018-0.038] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	8p11.21	8	41866032	ANK1	ANK1			ENSG00000029534			rs13282541-C	rs13282541	0	13282541	intron_variant	0	0.738823	2E-6	5.698970004336019		0.02511111	[0.015-0.035] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	17q21.31	17	46006036	STH	MAPT			ENSG00000186868			rs1991556-G	rs1991556	0	1991556	intron_variant	0	0.774711	3E-9	8.522878745280337		0.03280479	[0.022-0.044] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	7q11.22	7	70437166	AUTS2	AUTS2			ENSG00000158321			rs2006810-T	rs2006810	0	2006810	intron_variant	0	0.604	4E-9	8.397940008672037		0.028	[0.018-0.038] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	19p13.2	19	9857758	OLFM2	OLFM2			ENSG00000105088			rs2303100-C	rs2303100	0	2303100	missense_variant	0	0.447	1E-10	10.0		0.03	[0.02-0.04] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	9q33.3	9	125479135	MAPKAP1	MAPKAP1			ENSG00000119487			rs2416963-C	rs2416963	0	2416963	intron_variant	0	0.589	2E-10	9.698970004336019		0.03	[0.02-0.04] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	1p21.3	1	98054663	MIR137	MIR137HG			ENSG00000225206			rs2660302-T	rs2660302	0	2660302	regulatory_region_variant	0	0.187959	5E-10	9.301029995663981		0.03636245	[0.025-0.048] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	3p25.3	3	8986020	RAD18	SRGAP3			ENSG00000196220			rs341785-A	rs341785	0	341785	intron_variant	0	0.768	3E-8	7.522878745280337		0.031	[0.019-0.043] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	19p13.2	19	9831447	UBL5	PIN1-DT			ENSG00000267289			rs34786000-G	rs34786000	0	34786000	intergenic_variant	0	0.446681	3E-9	8.522878745280337		0.02787433	[0.019-0.037] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	15q26.1	15	90963779	RCCD1	RCCD1 - PRC1	ENSG00000166965	ENSG00000198901		654	2261	rs35006130-GTT	rs35006130	0	35006130	intergenic_variant	1	0.893	3E-8	7.522878745280337		0.045	[0.029-0.061] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	2q14.1	2	113324598	PAX8-AS1	LINC02966			ENSG00000234997			rs62158170-A	rs62158170	0	62158170	regulatory_region_variant	0	0.783	6E-20	19.221848749616356		0.051	[0.039-0.063] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	2q14.1	2	113348562	CHCHD5	LINC02966			ENSG00000234997			rs62158211-G	rs62158211	0	62158211	intergenic_variant	0	0.785189	6E-17	16.221848749616356		0.046838697	[0.036-0.058] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	8p11.21	8	41899381	KAT6A	ANK1 - KAT6A	ENSG00000029534	ENSG00000083168		2640	30098	rs62508246-G	rs62508246	0	62508246	intergenic_variant	1	0.756	2E-8	7.698970004336019		0.031	[0.021-0.041] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	3q22.3	3	137311341	IL20RB	IL20RB - RNA5SP142	ENSG00000174564	ENSG00000201325		300256	206793	rs6439701-T	rs6439701	0	6439701	intergenic_variant	1	0.605	1E-8	8.0		0.027	[0.017-0.037] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	6p22.3	6	19065449	LOC101928519	MIR548A1HG - RPL21P61	ENSG00000283408	ENSG00000217379		391448	78246	rs72828533-A	rs72828533	0	72828533	intergenic_variant	1	0.818	3E-13	12.522878745280337		0.043	[0.031-0.055] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	6p22.3	6	19102055	LOC101928519	MIR548A1HG - RPL21P61	ENSG00000283408	ENSG00000217379		428054	41640	rs72828540-T	rs72828540	0	72828540	intergenic_variant	1	0.751221	3E-12	11.522878745280337		0.03714042	[0.027-0.048] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	17q21.31	17	45592855	MAPK8IP1P2	DND1P1 - MAPK8IP1P2	ENSG00000264070	ENSG00000263503		5926	8014	rs7502280-T	rs7502280	0	7502280	intergenic_variant	1	0.867	9E-11	10.045757490560675		0.051	[0.035-0.067] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	2q14.1	2	113328208	PAX8-AS1	LINC02966			ENSG00000234997			rs7556815-G	rs7556815	0	7556815	intergenic_variant	0	0.778896	2E-18	17.69897000433602		0.048654024	[0.038-0.06] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	1p21.3	1	97861577	DPYD	DPYD			ENSG00000188641			rs75641275-A	rs75641275	0	75641275	intron_variant	0	0.859	2E-10	9.698970004336019		0.042	[0.028-0.056] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	3q22.3	3	137312395	IL20RB	IL20RB - RNA5SP142	ENSG00000174564	ENSG00000201325		301310	205739	rs7616632-T	rs7616632	0	7616632	intergenic_variant	1	0.5199	2E-6	5.698970004336019		0.021791954	[0.013-0.031] SD units increase	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	6p21.2	6	38469527	BTBD9-AS1	BTBD9			ENSG00000183826			rs9369062-A	rs9369062	0	9369062	intron_variant	0	0.707605	1E-6	6.0		0.024680268	[0.015-0.035] SD units decrease	NR [9926106] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST006914	Genome-wide genotyping array
2013-11-29	23728906	Byrne EM	2013-05-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/23728906	A genome-wide association study of sleep habits and insomnia.	Sleep duration	2,278 European ancestry individuals	NA	16p12.3	16	19393323	TMC5	LINC02858 - TMC5	ENSG00000285869	ENSG00000103534		55517	17173	rs4780805-A	rs4780805	0	4780805	regulatory_region_variant	1	0.15	8E-7	6.096910013008056		0.19	[0.11-0.27] unit decrease	Illumina [2380486] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST002053	Genome-wide genotyping array
2013-11-29	23728906	Byrne EM	2013-05-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/23728906	A genome-wide association study of sleep habits and insomnia.	Sleep duration	2,278 European ancestry individuals	NA	8q22.1	8	97142213	PGCP	CPQ			ENSG00000104324			rs17737465-G	rs17737465	0	17737465	intron_variant	0	0.37	2E-6	5.698970004336019		0.14	[0.081-0.199] unit decrease	Illumina [2380486] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST002053	Genome-wide genotyping array
2013-11-29	23728906	Byrne EM	2013-05-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/23728906	A genome-wide association study of sleep habits and insomnia.	Sleep duration	2,278 European ancestry individuals	NA	16q13	16	57269282	PLLP	PLLP			ENSG00000102934			rs11640439-A	rs11640439	0	11640439	intron_variant	0	0.09	3E-6	5.522878745280337		0.24	[0.14-0.34] unit increase	Illumina [2380486] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST002053	Genome-wide genotyping array
2013-11-29	23728906	Byrne EM	2013-05-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/23728906	A genome-wide association study of sleep habits and insomnia.	Sleep duration	2,278 European ancestry individuals	NA	3q26.31	3	175337970	NAALADL2	NAALADL2			ENSG00000177694			rs2042126-G	rs2042126	0	2042126	intron_variant	0	0.48	3E-6	5.522878745280337		0.14	[0.081-0.199] unit decrease	Illumina [2380486] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST002053	Genome-wide genotyping array
2013-11-29	23728906	Byrne EM	2013-05-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/23728906	A genome-wide association study of sleep habits and insomnia.	Sleep duration	2,278 European ancestry individuals	NA	8q21.13	8	80316591	RP11-941H19.3	RPL13AP18 - RNU6-1213P	ENSG00000241746	ENSG00000252884		50436	88925	rs11987678-C	rs11987678	0	11987678	intergenic_variant	1	0.05	4E-6	5.3979400086720375		0.32	[0.18-0.46] unit decrease	Illumina [2380486] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST002053	Genome-wide genotyping array
2013-11-29	23728906	Byrne EM	2013-05-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/23728906	A genome-wide association study of sleep habits and insomnia.	Sleep duration	2,278 European ancestry individuals	NA	10q22.1	10	70741007	ADAMTS14	ADAMTS14			ENSG00000138316			rs10823607-T	rs10823607	0	10823607	missense_variant	0	0.15	5E-6	5.301029995663981		0.19	[0.11-0.27] unit decrease	Illumina [2380486] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST002053	Genome-wide genotyping array
2013-11-29	23728906	Byrne EM	2013-05-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/23728906	A genome-wide association study of sleep habits and insomnia.	Sleep duration	2,278 European ancestry individuals	NA	18q22.3	18	73914271	FBXO15	RN7SL401P - FBXO15	ENSG00000241866	ENSG00000141665		169039	159082	rs2278331-A	rs2278331	0	2278331	intergenic_variant	1	NR	5E-6	5.301029995663981		0.14	[0.081-0.199] unit increase	Illumina [2380486] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST002053	Genome-wide genotyping array
2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep duration	111,975 European ancestry individuals	NA	2q14.1	2	113348562	PAX8	LINC02966			ENSG00000234997			rs62158211-T	rs62158211	0	62158211	intergenic_variant	0	0.213	5E-14	13.301029995663981		0.039	[0.029-0.049] hours increase	Affymetrix [up to 73355677] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST003980	Genome-wide genotyping array
2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep duration	111,975 European ancestry individuals	NA	2p16.1	2	57714152	LOC647016, VRK2, LOC100131953	EIF2S2P7 - ACTG1P22	ENSG00000271115	ENSG00000271615		664816	50802	rs1380703-A	rs1380703	0	1380703	intergenic_variant	1	0.618	8E-8	7.096910013008056		0.025	[0.015-0.035] hours increase	Affymetrix [up to 73355677] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST003980	Genome-wide genotyping array
2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep duration	111,975 European ancestry individuals	NA	7q31.1	7	114651380	FOXP2	FOXP2			ENSG00000128573			rs10953765-G	rs10953765	0	10953765	intron_variant	0	0.447	3E-7	6.522878745280337		0.022	[0.014-0.03] hours increase	Affymetrix [up to 73355677] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST003980	Genome-wide genotyping array
2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep duration	111,975 European ancestry individuals	NA	10q21.1	10	54811194	PCDH15	PCDH15			ENSG00000150275			rs146977851-C	rs146977851	0	146977851	intergenic_variant	0	0.971	4E-7	6.3979400086720375		0.065	[0.04-0.09] hours increase	Affymetrix [up to 73355677] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST003980	Genome-wide genotyping array
2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep duration	111,975 European ancestry individuals	NA	14q32.12	14	93752603	PRIMA1, UNC79	PRIMA1			ENSG00000175785			rs61980273-A	rs61980273	0	61980273	intron_variant	0	0.039	1E-7	7.0		0.058	[0.036-0.08] hours increase	Affymetrix [up to 73355677] (imputed)	N	sleep duration trait	http://purl.obolibrary.org/obo/OBA_2040171	GCST003980	Genome-wide genotyping array
